"fips","windCF","solarCF"
1001,0.328,0.210727391202735
1003,0.3235,0.21661622894466
1005,0.314,0.214243257079497
1007,0.328,0.208875810294247
1009,0.372,0.204435209543016
1011,0.281,0.213545536520342
1013,0.315,0.213539116241098
1015,0.336,0.205309164882036
1017,0.3,0.209437617560336
1019,0.366,0.203864296569866
1021,0.338,0.209077181376164
1023,0.326,0.212491737299016
1025,0.334,0.213854381289869
1027,0.36,0.206819878730428
1029,0.386,0.20513392730384
1031,0.313,0.21522464720729
1033,0.371,0.203442795022685
1035,0.3,0.213760398379061
1037,0.351,0.208700035267812
1039,0.308,0.214686119509402
1041,0.339,0.213886531599901
1043,0.377,0.204262489404814
1045,0.325,0.215445779664661
1047,0.3,0.212477960588909
1049,0.363,0.202419122246989
1051,0.287,0.210995410172051
1053,0.309,0.213917249754241
1055,0.332,0.20411429236891
1057,0.345,0.206418300706237
1059,0.379,0.204008044310133
1061,0.331,0.216397053980139
1063,0.261,0.211061041834093
1065,0.296,0.211714225280875
1067,0.321,0.215738880483703
1069,0.323,0.216858481650746
1071,0.411,0.200931018418355
1073,0.332,0.205995348917028
1075,0.325,0.206820184895125
1077,0.31,0.202564726532312
1079,0.358,0.203413432334785
1081,0.313,0.211044238172183
1083,0.309,0.202846768627319
1085,0.283,0.212947338907349
1087,0.263,0.212693185264316
1089,0.375,0.201783143117096
1091,0.322,0.212857148115746
1093,0.368,0.204950112969699
1095,0.37,0.202823343676568
1097,0.314,0.215991745350226
1099,0.312,0.213716747851077
1101,0.272,0.213304050361967
1103,0.362,0.203321877330209
1105,0.324,0.211723058426301
1107,0.313,0.209161427957245
1109,0.314,0.213931126552185
1111,0.36,0.207153830687664
1113,0.272,0.212754011825588
1115,0,0.205407270780407
1117,0.336,0.207162859392742
1119,0.315,0.211404293201088
1121,0.34,0.206888540567207
1123,0.326,0.20967942795443
1125,0.339,0.208009384724155
1127,0.329,0.205778217800162
1129,0.315,0.213579903321372
1131,0.301,0.213230302793374
1133,0.351,0.204437492709053
4001,0.291888888888889,0.244560744760422
4003,0.296863636363636,0.25663265887463
4005,0.318717277486911,0.245847878185555
4007,0.2292,0.25127094336369
4009,0.271095238095238,0.254666481606063
4011,0.274,0.251618306409364
4012,0.245942307692308,0.259160424725375
4013,0.25452,0.258552953867676
4015,0.318907657657658,0.251580047498369
4017,0.30408950617284,0.247389828667348
4019,0.23169696969697,0.25858575005457
4021,0.235888888888889,0.257329898144702
4023,0.269,0.256376924925046
4025,0.264257425742574,0.251775364521784
4027,0.24679746835443,0.261242417978315
5001,0.3805,0.20783634459588
5003,0,0.209837578294072
5005,0.394,0.201723633272235
5007,0.491117647058824,0.203085892415027
5009,0.473411764705882,0.201852072473422
5011,0.359,0.208341403929696
5013,0.335,0.207631245342048
5015,0.446245614035088,0.202097221836167
5017,0.373230769230769,0.210763492114935
5019,0.343,0.204785041248297
5021,0.377428571428571,0.203008069252383
5023,0.422,0.202135169515072
5025,0,0.207326538548064
5027,0.357,0.207378419113969
5029,0.372,0.203040125559867
5031,0.398,0.203840415825273
5033,0.460888888888889,0.20295549437918
5035,0.410514705882353,0.205583361171556
5037,0.388,0.205678169366301
5039,0.3715,0.206339958872881
5041,0.370909090909091,0.209215160145812
5043,0.372,0.208813181328644
5045,0.379,0.203183804558223
5047,0.4786,0.203082081703138
5049,0.411,0.201793169514648
5051,0.458,0.202384350403154
5053,0.372,0.205641603246813
5055,0.394727272727273,0.203330227492605
5057,0.362,0.205837258019177
5059,0.408,0.20373254490576
5061,0.343,0.20349386998397
5063,0.422,0.202852724678133
5065,0.412,0.201891328446584
5067,0.391,0.204233253822923
5069,0.364,0.207139215391435
5071,0.398,0.202564117442472
5073,0.36,0.207217237920417
5075,0.384,0.203093950980826
5077,0.391,0.206776998144003
5079,0.365,0.20809524153284
5081,0.376,0.206625239037788
5083,0.456,0.204033453496755
5085,0.37,0.205838930421357
5087,0.45798275862069,0.201554138184656
5089,0.403,0.201836314223011
5091,0.3605,0.207559534456191
5093,0.398333333333333,0.204264588403721
5095,0.379,0.206894002434655
5097,0.496,0.201549151578398
5099,0.359,0.206141390586642
5101,0.454634408602151,0.201197644895787
5103,0.337,0.207126399771277
5105,0.324,0.202820164234525
5107,0.379681818181818,0.207735105606624
5109,0.346,0.202857470349041
5111,0.412,0.204370846502052
5113,0.539,0.201097299918384
5115,0.477,0.202501580827962
5117,0.371,0.206244904390881
5119,0.36,0.203858506821617
5121,0.383,0.202331544587106
5123,0,0.206247322953476
5125,0.452,0.203306706428418
5127,0.491,0.202107570164375
5129,0.478666666666667,0.201449528427558
5131,0.434,0.204506410691383
5133,0.321,0.205193920763827
5135,0.417,0.202214713786859
5137,0.457714285714286,0.201759524602127
5139,0.334,0.208131768856103
5141,0.452,0.201347817470137
5143,0.477515923566879,0.203091399348214
5145,0.353,0.204063099614379
5147,0.3574,0.20558819499719
5149,0.422,0.203025960231777
6001,0.353333333333333,0.228335716298353
6003,0.256571428571429,0.228879387849098
6005,0.171,0.229867171593285
6007,0.300705882352941,0.22575728499157
6009,0.333,0.23160385667638
6011,0.293962962962963,0.228230281105571
6013,0.393756756756757,0.227288338289758
6015,0.374,0.198002408850444
6017,0.2862,0.229262648951087
6019,0.239444444444444,0.236890471567731
6021,0.28069696969697,0.226962899849589
6023,0.334104651162791,0.203183019273574
6025,0.37610989010989,0.260790703656488
6027,0.297168604651163,0.25333493966963
6029,0.379276025236593,0.249035345460646
6031,0.2195,0.240328755059796
6033,0.342,0.228241054915071
6035,0.243309803921569,0.225399421209001
6037,0.338721590909091,0.245479479224912
6039,0,0.23486684805732
6041,0.267,0.211664692657971
6043,0.177,0.234813820161572
6045,0.316157894736842,0.219106835746028
6047,0.3081875,0.235069971920675
6049,0.2885,0.219044358459863
6051,0.256951219512195,0.235710888856522
6053,0.194571428571429,0.237108377653155
6055,0.297,0.227029115549591
6057,0.326166666666667,0.227883223891222
6059,0.154333333333333,0.234851819079027
6061,0.2889,0.229017844140766
6063,0.331148148148148,0.226928039586345
6065,0.358701298701299,0.256261618117846
6067,0.413,0.228969060515487
6069,0.208,0.238144178343305
6071,0.325847948511665,0.258407240209127
6073,0.333840425531915,0.248498181491682
6075,0.408,0.211262400472423
6077,0.265875,0.231274128172704
6079,0.2526,0.242767647505369
6081,0.1865,0.21180058401699
6083,0.419625,0.240299593505846
6085,0.273,0.231883165795997
6087,0.27,0.223759727657836
6089,0.323551724137931,0.22206436590455
6091,0.242894736842105,0.228001056570941
6093,0.219125,0.216031645887215
6095,0.433430555555556,0.228241895314725
6097,0.267181818181818,0.22122004465957
6099,0.247857142857143,0.233734586918681
6101,0.265230769230769,0.227592005417342
6103,0.296,0.224700607875204
6105,0.2758,0.218794453214074
6107,0.280357142857143,0.240467185204361
6109,0.153,0.231000247535219
6111,0.201333333333333,0.243234525828511
6113,0.277171428571429,0.228957983672379
6115,0.274,0.226791746249068
8001,0.27125,0.22007214050427
8003,0.274,0.238964609912364
8005,0.283576923076923,0.220909685055875
8007,0.165,0.229129275534479
8009,0.448462068965517,0.233970003869005
8011,0.394657894736842,0.23237429436739
8013,0.25125,0.202716185588639
8014,0.201,0.211216010232318
8015,0.354833333333333,0.212670173162473
8017,0.420708333333333,0.226438113084658
8019,0.334258064516129,0.199529329788494
8021,0.2643,0.230059915171231
8023,0.42495,0.233107901740603
8025,0.28325,0.233138410638406
8027,0.24872972972973,0.222301352838746
8029,0.238,0.220718298269925
8031,0.215,0.217699893793969
8033,0.326733333333333,0.225558561870039
8035,0.295180555555556,0.217341022720337
8037,0.167266666666667,0.207121082763189
8039,0.349487804878049,0.223820496378055
8041,0.322097345132743,0.225093321533787
8043,0.324925,0.223746225363706
8045,0.202,0.214038524533319
8047,0.364241379310345,0.202468628661789
8049,0.187714285714286,0.202259068440582
8051,0.377,0.21292656092118
8053,0.295,0.210212253902089
8055,0.365996453900709,0.228694556120545
8057,0.332,0.201267931586962
8059,0.261035714285714,0.208663510601403
8061,0.367666666666667,0.22983129455587
8063,0.403776315789474,0.222930161712742
8065,0.319,0.199793576907387
8067,0.264857142857143,0.229394372820297
8069,0.377690476190476,0.201646570593815
8071,0.387461261261261,0.233468985161717
8073,0.353142857142857,0.227296245524865
8075,0.368266666666667,0.215118449662516
8077,0.211,0.221761742043187
8079,0.3325,0.218896393576175
8081,0.33653164556962,0.214198731681015
8083,0.282,0.236142860593677
8085,0.333,0.223141897146294
8087,0.2898,0.219606565027184
8089,0.2974,0.234006589460426
8091,0.324333333333333,0.210602052512891
8093,0.316689189189189,0.213510859201914
8095,0.394857142857143,0.214841290471641
8097,0.21,0.203982468202568
8099,0.423098039215686,0.229994210983556
8101,0.255677419354839,0.231235000363243
8103,0.2947125,0.213867616040113
8105,0.286882352941176,0.228485717828628
